(0, 0) (1, 62) (2, 479) 
(0, 0) (1, 62) (2, 481) 
(0, 0) (1, 62) (2, 494) 
(0, 0) (1, 62) (2, 495) 
(0, 0) (1, 62) (2, 500) 
(0, 0) (1, 62) (2, 505) 
(0, 0) (1, 62) (2, 517) 
(0, 0) (1, 62) (2, 521) 
(0, 0) (1, 62) (2, 544) 
(0, 0) (1, 62) (2, 562) 
(0, 0) (1, 62) (2, 577) 
(0, 0) (1, 62) (2, 587) 
(0, 0) (1, 62) (2, 626) 
(0, 0) (1, 62) (2, 627) 
(0, 0) (1, 62) (2, 647) 
(0, 0) (1, 62) (2, 726) 
(0, 0) (1, 62) (2, 816) 
(0, 0) (1, 62) (2, 868) 
(0, 0) (1, 62) (2, 909) 
(0, 0) (1, 62) (2, 928) 
(0, 0) (1, 62) (2, 982) 
(0, 0) (1, 62) (2, 989) 
(0, 0) (1, 62) (2, 991) 
(0, 0) (1, 67) (2, 73) 
(0, 0) (1, 67) (2, 94) 
(0, 0) (1, 67) (2, 121) 
(0, 0) (1, 67) (2, 135) 
(0, 0) (1, 67) (2, 257) 
(0, 0) (1, 67) (2, 276) 
(0, 0) (1, 67) (2, 298) 
(0, 0) (1, 67) (2, 337) 
(0, 0) (1, 67) (2, 389) 
(0, 0) (1, 67) (2, 395) 
(0, 0) (1, 67) (2, 420) 
(0, 0) (1, 67) (2, 430) 
(0, 0) (1, 67) (2, 463) 
(0, 0) (1, 67) (2, 471) 
(0, 0) (1, 67) (2, 517) 
(0, 0) (1, 67) (2, 532) 
(0, 0) (1, 67) (2, 535) 
(0, 0) (1, 67) (2, 539) 
(0, 0) (1, 67) (2, 562) 
(0, 0) (1, 67) (2, 575) 
(0, 0) (1, 67) (2, 591) 
(0, 0) (1, 67) (2, 598) 
(0, 0) (1, 67) (2, 625) 
(0, 0) (1, 67) (2, 633) 
(0, 0) (1, 67) (2, 649) 
(0, 0) (1, 67) (2, 653) 
(0, 0) (1, 67) (2, 658) 
(0, 0) (1, 67) (2, 679) 
(0, 0) (1, 67) (2, 701) 
(0, 0) (1, 67) (2, 729) 
(0, 0) (1, 67) (2, 731) 
(0, 0) (1, 67) (2, 740) 
(0, 0) (1, 67) (2, 772) 
(0, 0) (1, 67) (2, 805) 
(0, 0) (1, 67) (2, 825) 
(0, 0) (1, 67) (2, 881) 
(0, 0) (1, 67) (2, 974) 
(0, 0) (1, 67) (2, 987) 
(0, 0) (1, 67) (2, 989) 
(0, 0) (1, 69) (2, 78) 
(0, 0) (1, 69) (2, 88) 
(0, 0) (1, 69) (2, 94) 
(0, 0) (1, 69) (2, 97) 
(0, 0) (1, 69) (2, 100) 
(0, 0) (1, 69) (2, 121) 
(0, 0) (1, 69) (2, 126) 
(0, 0) (1, 69) (2, 135) 
(0, 0) (1, 69) (2, 155) 
(0, 0) (1, 69) (2, 226) 
(0, 0) (1, 69) (2, 228) 
(0, 0) (1, 69) (2, 244) 
(0, 0) (1, 69) (2, 267) 
(0, 0) (1, 69) (2, 288) 
(0, 0) (1, 69) (2, 317) 
(0, 0) (1, 69) (2, 325) 
